module,class_name,operation_name,operation_value,base_kind,input_count,output_count,input_data_types,output_data_types,signature_inputs,signature_outputs
Base,LookAtEntityNodeViewModel,,,NoOutputsNodeViewModel,3,0,Entity|Entity|Number,,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input3"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]",[]
Trigonometry,LowercaseStringNodeViewModel,StringLowercase,3588,OneOutputNodeViewModel,1,1,String,String,"[{""name"": ""input"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Base,MagnitudeVectorNodeViewModel,Magnitude,1283,OneOutputNodeViewModel,1,1,Vector,Number,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,MassCenterEntityNodeViewModel,MassCenter,1558,OneOutputNodeViewModel,1,1,Entity,Vector,"[{""name"": ""input"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,MassEntityNodeViewModel,Mass,1557,OneOutputNodeViewModel,1,1,Entity,Number,"[{""name"": ""input"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,MaxValueNodeViewModel,Max,2330,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,MinValueNodeViewModel,Min,2329,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,MultiplyNumbersNodeViewModel,Multiply,2306,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,NegateNodeViewModel,Negate,2315,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,NormalEntityNodeViewModel,EntityNormal,1537,OneOutputNodeViewModel,1,1,Entity,Vector,"[{""name"": ""input"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Trigonometry,NormalizeVectorNodeViewModel,Normalize,1282,OneOutputNodeViewModel,1,1,Vector,Vector,"[{""name"": ""input"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,NotAndNodeViewModel,Nand,2562,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Comparisons,NotEqualNodeViewModel,NotEqual,2817,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Number,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,NotOrNodeViewModel,Nor,2563,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,NotSameNodeViewModel,Not,2564,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,NotXorNodeViewModel,Nxor,2566,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,OrNodeViewModel,Or,2561,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,PercentNumberNodeViewModel,Percent,2316,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,PiNodeViewModel,Pi,258,OneOutputNodeViewModel,0,0,,,[],"[{""name"": ""r"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,PositionEntityNodeViewModel,Position,1559,OneOutputNodeViewModel,2,1,Entity|Vector,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,PowNumberNodeViewModel,Pow,2325,OneOutputNodeViewModel,2,1,Dynamic|Number,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,PythagoreanCathetusNodeViewModel,PythagoreanCathetus,2062,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,PythagoreanSideNodeViewModel,PythagoreanSide,2063,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,RadToDegSameNodeViewModel,,,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,RandomNodeViewModel,Random,261,OneOutputNodeViewModel,2,1,Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,RemainderNumberNodeViewModel,Mod,2327,OneOutputNodeViewModel,2,1,Dynamic|Number,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,RepeatStringNodeViewModel,StringRepeat,3591,OneOutputNodeViewModel,2,1,String|Number,String,"[{""name"": ""input1"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Trigonometry,ReplaceStringNodeViewModel,StringReplace,3592,OneOutputNodeViewModel,3,1,String|String|String,String,"[{""name"": ""inputString"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""oldValue"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}, {""name"": ""newValue"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""result"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
WorldSession,ResetSessionStateNodeViewModel,ResetWorldSessionState,5010,NoOutputsNodeViewModel,1,0,Number,,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]",[]
Trigonometry,ReverseStringNodeViewModel,StringReverse,3590,OneOutputNodeViewModel,1,1,String,String,"[{""name"": ""input"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Base,RoundNodeViewModel,Round,2326,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
WorldSession,SaveSessionStateNodeViewModel,SaveWorldSessionState,5009,NoOutputsNodeViewModel,1,0,Number,,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]",[]
Base,SelectNodeViewModel,Select,2568,OneOutputNodeViewModel,11,1,Number|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic|Dynamic,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input3"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input4"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input5"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input6"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input7"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input8"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input9"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input10"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input11"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
WorldSession,SessionStateNodeViewModel,WorldSessionState,5001,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""inputStart"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""inputEnd"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,SignNodeViewModel,Sign,2318,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,SinNodeViewModel,Sin,2049,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
